maxima,aprendere
1,el dinero
2,mix celeste
3,cuando se acaba el amor
4,fria
5,alejate de mi
6,se fue mi amor
7,aguita de coco
8,vete lejos
9,el baile del tao/el meneito arrebatao
9,todo me da vueltas
10,leyes del corazon
11,tu nombre
12,como le explico a mi corazon
13,limbo
14,un loco amor
15,hasta que salga el sol
