maxima,por eso te amo
1,como te olvido
2,parranda amor amor
2,llora corazon llora
3,un loco amor
4,yo te lo dije
5,carita de pasaporte
6,hasta que salga el sol
7,ella se fue llorando
7,puro cuento
8,el pegao
9,amigo mio
10,el amor mas grande del planeta
11,zumba
12,donde estaras
12,lastima
13,se fue mi amor
13,caprichos del corazon
14,mi corazon esta llorandote
15,fria
