maxima,parranda amor amor
1,carita de pasaporte
1,amigo mio
2,yo te lo dije
3,como te olvido
4,ella se fue llorando
5,zumba
6,lastima
6,caprichos del corazon
7,mi corazon esta llorandote
8,por eso te amo
9,un loco amor
10,te extrano tanto
11,llora corazon llora
11,hay que saber perder
12,tu poeta
13,cuando me acuerdo de ti
14,algo que decir
15,el pegao
