maxima,mi corazon esta llorandote
1,princesa
2,el amor mas grande del planeta
2,caprichos del corazon
3,lastima
3,tu poeta
4,te olvidare
5,hay que saber perder
6,cuando me acuerdo de ti
6,vivir mi vida
7,tan solo un minuto
8,ella se fue llorando
8,zumba
9,algo que decir
9,hasta el fin del mundo
10,festroni-k
11,si tu me faltas
11,me enamore
12,asi no
13,amigo mio
14,angel en zapatillas
15,te extrano tanto
16,el tiempo
17,para siempre
18,parranda amor amor
18,carita de pasaporte
19,perdon
19,lo que un dia fue no sera
20,yo te lo dije
