maxima,bara bere
1,mi estrella
2,el baile de la gallina
3,tu me cambiaste la vida
4,tu nombre
5,more
6,diganle
7,domitila
8,volvi a nacer
9,aprendere
10,el amor esta pero viene y se va
11,como le explico a mi corazon
12,vete lejos
13,el baile del tao/el meneito arrebatao
14,leyes del corazon
15,alejate de mi
